index,ecg_value,gsr_value,par,q_status,a_status
166,0.547410,0.587488,1,0,0
167,0.597263,0.587488,0,0,0
168,0.458456,0.587488,1,0,0
169,0.286413,0.587488,0,0,0
170,0.320626,0.587488,1,0,0
171,0.510264,0.587488,0,0,0
172,0.595308,0.587488,1,0,0
173,0.456501,0.587488,0,0,0
174,0.304008,0.587488,1,0,0
175,0.397849,0.587488,0,0,0
176,0.567937,0.587488,1,0,0
177,0.583578,0.587488,0,0,0
178,0.363636,0.587488,1,0,0
179,0.110459,0.587488,0,0,0
180,0.136852,0.587488,1,0,0
181,0.199413,0.587488,0,0,0
182,0.034213,0.587488,1,0,0
183,0.000000,0.587488,0,0,0
184,0.000000,0.587488,1,0,0
185,0.015640,0.587488,0,0,0
186,0.252199,0.587488,1,0,0
187,0.419355,0.587488,0,0,0
188,0.349951,0.587488,1,0,0
189,0.294233,0.587488,0,0,0
190,0.454545,0.587488,1,0,0
191,0.632454,0.587488,0,0,0
192,0.606061,0.587488,1,0,0
193,0.418377,0.587488,0,0,0
194,0.322581,0.587488,1,0,0
195,0.412512,0.586510,0,0,0
196,0.599218,0.586510,1,0,0
197,0.632454,0.587488,0,0,0
198,0.453568,0.587488,1,0,0
199,0.324536,0.587488,0,0,0
200,0.436950,0.587488,1,0,0
201,0.643206,0.587488,0,0,0
202,0.615836,0.587488,1,0,0
203,0.450635,0.587488,0,0,0
204,0.337243,0.587488,1,0,0
205,0.414467,0.586510,0,0,0
206,0.644184,0.587488,1,0,0
207,0.660802,0.587488,0,0,0
208,0.450635,0.587488,1,0,0
209,0.358749,0.587488,0,0,0
210,0.511241,0.587488,1,0,0
211,0.670577,0.587488,0,0,0
212,0.648094,0.587488,1,0,0
213,0.410557,0.587488,0,0,0
214,0.323558,0.587488,1,0,0
215,0.478983,0.587488,0,0,0
216,0.612903,0.587488,1,0,0
217,0.568915,0.587488,0,0,0
218,0.388074,0.587488,1,0,0
219,0.261975,0.586510,0,0,0
220,0.330401,0.586510,1,0,0
221,0.551320,0.586510,0,0,0
222,0.562072,0.586510,1,0,0
223,0.347019,0.587488,0,0,0
224,0.254154,0.586510,1,0,0
225,0.409580,0.587488,0,0,0
226,0.579668,0.587488,1,0,0
227,0.528837,0.587488,0,0,0
228,0.350929,0.587488,1,0,0
229,0.305963,0.587488,0,0,0
230,0.458456,0.586510,1,0,0
231,0.618768,0.586510,0,0,0
232,0.592375,0.586510,1,0,0
233,0.419355,0.586510,0,0,0
234,0.304008,0.586510,1,0,0
235,0.429130,0.586510,0,0,0
236,0.594330,0.586510,1,0,0
237,0.558162,0.587488,0,0,0
238,0.319648,0.587488,1,0,0
239,0.275660,0.587488,0,0,0
240,0.413490,0.587488,1,0,0
